question,optionA,optionB,optionC,optionD,language,category,language2
The use of what AWS feature or service allows companies to track and categorize spending on a detailed level?,(A) Cost allocation tags,(B) Consolidated billing,(C) AWS Budgets,(D) AWS Marketplace,eng,CLF,eng
Which of the Reserved Instance (RI) pricing models can change the attributes of the RI as long as the exchange results in the creation of RIs of equal or greater value?,(A) Dedicated RIs,(B) Scheduled RIs,(C) Convertible RIs,(D) Standard RIs,eng,CLF,eng
The AWS Cloud's multiple Regions are an example of:,(A) agility.,(B) global infrastructure.,(C) elasticity.,(D) pay-as-you-go pricing.,eng,CLF,eng
"What AWS storage class should be used for long-term, archival storage?",(A) S3 Infrequent Access,(B) S3 Standard,(C) Glacier,(D) S3 RRS,eng,CLF,eng
Which AWS service can help against DDOS protection ?,(A) VPC,(B) CloudWatch,(C) CloudFront,(D) Route53,eng,CLF,eng
"A company is considering using AWS for a self-hosted database that requires a nightly shutdown for maintenance and cost-saving purposes.
Which service should the company use?",(A) Amazon Redshift,(B) Amazon DynamoDB,(C) Amazon Elastic Compute Cloud (Amazon EC2) with Amazon EC2 instance store,(D) Amazon EC2 with Amazon Elastic Block Store (Amazon EBS),eng,CLF,eng
"Under the shared responsibility model, which of the following is the customer responsible for?",(A) Ensuring that disk drives are wiped after use.,(B) Ensuring that firmware is updated on hardware devices.,(C) Ensuring that data is encrypted at rest.,(D) Ensuring that network cables are category six or higher.,eng,CLF,eng
What is one of the advantages of the Amazon Relational Database Service (Amazon RDS)?,(A) It simplifies relational database administration tasks.,(B) It provides 99.99999999999% reliability and durability.,(C) It automatically scales databases for loads.,(D) It enabled users to dynamically adjust CPU and RAM resources.,eng,CLF,eng
Which service helps in segregating access control over various other AWS service ?,(A) AWS Lambda,(B) AWS Trusted Advisor,(C) IAM,(D) Passwords,eng,CLF,eng
What best describes what AWS is?,(A) AWS is the cloud.,(B) AWS is a cloud services provider.,(C) AWS is an online retailer,(D) None of the above.,eng,CLF,eng
"You notice that five of your 10 S3 buckets are no longer available in your account, and you assume that they have been deleted. You are unsure who may have deleted them, and no one is taking responsibility. Which AWS service will help you investigate ?",(A) CloudWatch,(B) CloudTrail,(C) S3 Logs,(D) Lambda,eng,CLF,eng
Which feature of the AWS Cloud will support an international company's requirement for low latency to all of its customers?,(A) Fault tolerance,(B) Global reach,(C) Pay-as-you-go pricing,(D) High availability,eng,CLF,eng
Which of the following AWS Cloud services can be used to run a customer-managed relational database?,(A) Amazon EC2,(B) Amazon Route 53,(C) Amazon ElastiCache,(D) Amazon DynamoDB,eng,CLF,eng
Distributing workloads across multiple Availability Zones supports which cloud architecture design principle?,(A) Implement automation.,(B) Design for agility.,(C) Design for failure.,(D) Implement elasticity.,eng,CLF,eng
Which is a recommended pattern for designing a highly available architecture on AWS?,(A) Ensure that components have low-latency network connectivity.,(B) Run enough Amazon EC2 instances to operate at peak load.,(C) Ensure that the application is designed to accommodate failure of any single component.,(D) Use a monolithic application that handles all operations.,eng,CLF,eng
Which of the following services will automatically scale with an expected increase in web traffic?,(A) AWS CodePipeline,(B) Elastic Load Balancing,(C) Amazon EBS,(D) AWS Direct Connect,eng,CLF,eng
"Which service enables risk auditing by continuously monitoring and logging account activity, including user actions in the AWS Management Console and AWS SDKs?",(A) Amazon CloudWatch,(B) AWS CloudTrail,(C) AWS Config,(D) AWS Health,eng,CLF,eng
You have a very critical application which your organization simply can't afford to have it down. What is the architecture strategy you would use to prepare to be used for the application ?,(A) Use Multi-AZ based architecture,(B) Use Multi-Region based architectures,(C) Use Hybrid Cloud Architecture,"(D) Use Multi-Cloud architecture so that if one cloud fails, DNS can switch and backup website will be restored from different cloud provider.",eng,CLF,eng
"Where are AWS compliance documents, such as an SOC 1 report, located?",(A) Amazon Inspector,(B) AWS CloudTrail,(C) AWS Artifact,(D) AWS Certificate Manager,eng,CLF,eng
What is an example of agility in the AWS Cloud?,(A) Access to multiple instance types,(B) Access to managed services,(C) Using Consolidated Billing to produce one bill,(D) Decreased acquisition time for new compute resources,eng,CLF,eng
Medium Corp is beginning to explore migrating their entire on-premises data center to AWS. They are very concerned about how much it will cost once their entire I.T. infrastructure is running on AWS. What tool will you recommend so that they can estimate what the cost of using AWS may be?,(A) AWS Cost Explorer,(B) AWS TCO Calculator,(C) AWS Estimate Calculator,(D) AWS Migration Cost Calculator,eng,CLF,eng
Which of the following is a shared control between the customer and AWS?,(A) Providing a key for Amazon S3 client-side encryption,(B) Configuration of an Amazon EC2 instance,(C) Environmental controls of physical AWS data centers,(D) Awareness and training,eng,CLF,eng
Which of the following is the customer's responsibility under the AWS shared responsibility model?,(A) Patching underlying infrastructure,(B) Physical security,(C) Patching Amazon EC2 instances,(D) Patching network infrastructure,eng,CLF,eng
"A company is looking for a scalable data warehouse solution.
Which of the following AWS solutions would meet the company's needs?",(A) Amazon Simple Storage Service (Amazon S3),(B) Amazon DynamoDB,(C) Amazon Kinesis,(D) Amazon Redshift,eng,CLF,eng
Which AWS IAM feature allows developers to access AWS services through the AWS CLI?,(A) API keys,(B) Access keys,(C) User names/Passwords,(D) SSH keys,eng,CLF,eng
A customer would like to design and build a new workload on AWS Cloud but does not have the AWS- related software technical expertise in-house. Which of the following AWS programs can a customer take advantage of to achieve that outcome?,(A) AWS Partner Network Technology Partners,(B) AWS Marketplace,(C) AWS Partner Network Consulting Partners,(D) AWS Service Catalog,eng,CLF,eng
A customer is using multiple AWS accounts with separate billing. How can the customer take advantage of volume discounts with minimal impact to the AWS resources?,(A) . Create one global AWS acount and move all AWS resources to tha account.,(B) . Sign up for three years of Reserved Instance pricing up front.,(C) . Use the consolidated billing feature from AWS Organizations.,(D) . Sign up for the AWS Enterprise support plan to get volume discounts.,eng,CLF,eng
Which AWS feature will reduce the customer's total cost of ownership (TCO)?,(A) Shared responsibility security model,(B) Single tenancy,(C) Elastic computing,(D) Encryption,eng,CLF,eng
What approach to transcoding a large number of individual video files adheres to AWS architecture principles?,(A) Using many instances in parallel,(B) Using a single large instance during off-peak hours,(C) Using dedicated hardware,(D) Using a large GPU instance type,eng,CLF,eng
Which of the following is a fast and reliable NoSQL database service?,(A) Amazon Redshift,(B) Amazon RDS,(C) Amazon DynamoDB,(D) Amazon S3,eng,CLF,eng
Which of the following support service do all the AWS account get in default ?,(A) Business Support,(B) Technical Account Manager,(C) AWS Enterpirse Support,(D) Billing Support,eng,CLF,eng
How many Availability Zones should compute resources be provisioned across to achieve high availability?,(A) A minimum of one,(B) A minimum of two,(C) A minimum of three,(D) A minimum of four or more,eng,CLF,eng
Which service can help equally distribute load across multiple EC2 instances ?,(A) Auto-Scaling,(B) Route53,(C) Elastic Load Balancing,(D) CloudTrail,eng,CLF,eng
Which service provides a virtually unlimited amount of online highly durable object storage?,(A) Amazon Redshift,(B) Amazon Elastic File System (Amazon EFS),(C) Amazon Elastic Container Service (Amazon ECS),(D) Amazon S3,eng,CLF,eng
"A customer needs to run a MySQL database that easily scales.
Which AWS service should they use?",(A) . Amazon Aurora,(B) . Amazon Redshift,(C) . Amazon DynamoDB,(D) . Amazon ElastiCache,eng,CLF,eng
"John is running a web application and he is seeing very changing traffic workloads. Few hours a day traffic is very high however for rest of the day traffic is less. In order to handle high traffic, john is running big servers however they remain under utilized most of the day and it is increasing the cost as well. Which AWS feature can john utilize to add and remove server capacity based on traffic workload ?",(A) Write script to check workload and launch EC2 instance dynamically.,(B) Elastic Load Balancing,(C) Auto-Scaling,"(D) Switch to Lambda, it handles load automatically.",eng,CLF,eng
Which Amazon EC2 instance pricing model can provide discounts of up to 90%?,(A) Reserved Instances,(B) On-Demand,(C) Dedicated Hosts,(D) Spot Instances,eng,CLF,eng
"Compared with costs in traditional and virtualized data centers, AWS has:",(A) greater variable costs and greater upfront costs.,(B) fixed usage costs and lower upfront costs.,(C) lower variable costs and greater upfront costs.,(D) lower variable costs and lower upfront costs.,eng,CLF,eng
One of the advantages to moving infrastructure from an on-premises data center to the AWS Cloud is:,(A) it allows the business to eliminate IT bills.,(B) it allows the business to put a server in each customer's data center.,(C) it allows the business to focus on business activities.,(D) it allows the business to leave servers unpatched.,eng,CLF,eng
Web servers running on Amazon EC2 access a legacy application running in a corporate data center. What term would describe this model?,(A) Cloud-native,(B) Partner network,(C) Hybrid architecture,(D) Infrastructure as a service,eng,CLF,eng
Which of the following Amazon EC2 pricing models allow customers to use existing serverbound software licenses?,(A) Spot Instances,(B) Reserved Instances,(C) Dedicated Hosts,(D) On-Demand Instances,eng,CLF,eng
"What is the benefit of using AWS managed services, such as Amazon ElastiCache and Amazon Relational Database Service (Amazon RDS)?",(A) They require the customer to monitor and replace failing instances.,(B) They have better performance than customer-managed services.,(C) They simplify patching and updating underlying OSs.,(D) They do not require the customer to optimize instance type or size selections.,eng,CLF,eng
Which of the following is an AWS managed Domain Name System (DNS) web service?,(A) Amazon Route 53,(B) Amazon Neptune,(C) Amazon SageMaker,(D) Amazon Lightsail,eng,CLF,eng
