question,optionA,optionB,optionC,optionD,language,category,language2
"公司在全球擁有多個開發人員,為開發項目逐步更新代碼。 當開發人員同時上傳代碼時,連接速度變得很慢。並且還要花費大量時間上傳代碼至AWS ElasticBeanstalk中進行部署。 下面哪一個步驟,能夠在盡可能最小化管理的影響,最大程度地減少上載和部署時間?","(A) 允許開發者上傳程式碼到S3上,並直接部署到Elastic Beanstalk。","(B) 允許開發者上傳程式碼到中心化FTP伺服器,並部署到Elastic Beanstalk。","(C) 創建一個CodeCommit 程式庫, 並允許開發者推送程式碼進程式庫。 而後把程式碼直接部署到Elastic Beanstalk。","(D) 在EC2實例上搭建一個程式碼倉庫,這樣一來,所有開發者都可以上傳程式碼,並從實例內部署應用至Elastic Beanstalk。",cht,DVA,cht
"公司維護著一個負責每天處理數千個外部回調的應用程序。該公司的系統管理員希望知道正在按順序接收的回調有多少,並且希望此數據在10天內可用。該公司還希望能夠在回調次數超過定義的閾值時發出自動警報。解決這些跟踪和警報需求的最經濟有效的方法是什麼?","(A) 將回調數據推送到Amazon RDS數據庫,可透過查詢該數據庫來顯示歷史數據,並在超過閾值時發出警報。","(B) 將回調數據推送到AWS X-Ray,並使用AWS Lambda查詢、顯示,並在超出閾值時發出警報。","(C) 將回調數據推送到Amazon Kinesis Data Streams,並調用AWS Lambda函數,該函數將數據存儲在Amazon DynamoDB並發送所需的警報。","(D) 將回調數據作為自定義指標推送到Amazon CloudWatch,並使用CloudWatch警報機制向系統管理員發出警報。",cht,DVA,cht
"運行在EC2實例上的軟體,要如何知道其實例的公共IP與私有IP?",(A) 查詢合適的Cloudwatch指標,(B) 使用 ipconfig 或 ifconfig 指令。,(C) 查詢本地實例的userdata,(D) 查詢本地實例的元數據。,cht,DVA,cht
應用程序旨在使用Amazon SQS來管理來自許多獨立發件人的消息。每個發件人的郵件必須按照接收順序進行處理。開發人員應實施哪種SQS功能?,(A) 為每個發件人配置一個唯一的MessageGroupId,(B) 在SQS隊列上啟用MessageDeduplicationIds,(C) 為每個消息配置唯一的MessageGroupId。,(D) 在SQS隊列上啟用ContentBasedDeduplication,cht,DVA,cht
下列哪個SNS的通知消息格式屬於有結構性質的?,"(A) 一個 XML 物件包含 MessageId, UnsubscribeURL, Subject, Message 與其他內容","(B) 一個 JSON 物件 包含 MessageId, DuplicateFlag, Message 與其他內容","(C) 一個 XML 物件包含 MessageId, DuplicateFlag, Message 與其他內容","(D) 一個 JSON 物件 包含 MessageId, unsubscribeURL, Subject, Message and 其他內容",cht,DVA,cht
"有一個組織必須將數以千計的敏感性音訊與影片存放在S3桶子內,因應組織的安全政策,寫到桶子裡的這些資料,都必須是加密過的,要如何確保遵守這個策略?","(A) 當有未加密的物件放入桶子的時候,AWS Lambda會寄發通知給資安團隊。","(B) 設定S3桶子策略,預防上傳的物件,其沒有附加 x-amzserver-side-encryption 標頭","(C) 創建一個 Cloudwatch事件規則,用來驗證放在S3桶子內的物件是否都是加密過的。","(D) 設定S3桶子策略,預防上傳的物件,其沒有附加 x-amz-server-side-encryption 標頭",cht,DVA,cht
"公司具有三種不同的環境:開發,質量保證和生產。該公司想先在開發環境中部署代碼,然後在質量保證和生產環境中部署代碼。哪種AWS服務可以用來滿足此要求?",(A) 使用AWS CodeCommit創建多個目錄來部署應用程序。,(B) 使用AWS CodeBuild創建、配置和部署多個構建應用程序專案。,(C) 使用AWS Data Pipeline創建多個數據管道來部署應用程序。,(D) 使用AWS CodeDeploy創建多個部署群組。,cht,DVA,cht
開發人員必須使用AWS KMS加密100 GB的物件。 下列最好的方法是什麼?,"(A) 進行Encrypt API調用,以使用客戶主密鑰(CMK)將明文數據加密為密文",(B) 使用帶有導入密鑰材料的客戶主密鑰(CMK)進行Encrypt API調用以將明文數據加密為密文,"(C) 調用GenerateDataKey API 取得明文的金鑰以及一個加密金鑰副本,並使用明文金鑰去加密資料。","(D) 調用 GenerateDataKeyWithoutPlaintext API,取得加密後的資料金鑰副本,並使用加密金鑰去加密資料。",cht,DVA,cht
"已要求開發人員構建一個實時儀表板Web應用程序,以可視化Amazon S3存儲桶中物件的鍵前綴和存儲大小。 Amazon DynamoDB將用於存儲Amazon S3元數據。 什麼是最佳且成本效益最高的設計,以確保實時儀表板與Amazon S3存儲桶中物件的狀態保持最新?","(A) Cloudwatch事件觸發Lambda函數, 調用Amazon S3 API以獲取所有Amazon S3 物件的列表,並將元數據保留在DynamoDB中。 讓Web應用程序能從DynamoDB表提取資料,以反映此變化。","(B) S3事件觸發Lambda函數, 調用Amazon S3 API以獲取所有Amazon S3 物件的列表,並將元數據保留在DynamoDB中。 讓Web應用程序能從DynamoDB表提取資料,以反映此變化。","(C) 在EC2實例內運行一個定期腳本,其會列出在S3內的所有物件,並將元數據存回DynamoDB,讓Web應用程序能從DynamoDB表提取資料,以反映此變化。","(D) 在EMR叢集內取得S3的所有物件,並將元數據存回DynamoDB,讓Web應用程序能從DynamoDB表提取資料,以反映此變化。",cht,DVA,cht
"有一個本地應用程序會將文件不斷地存儲到Amazon S3。 隨著應用程序使用量的增加,出現了“ LimitExceeded” 這個錯誤。 應該要做什麼來修正這個錯誤?",(A) 為應用實作指數補償功能。,"(B) 將應用部署在多台伺服器上,並實踐負載均衡。",(C) 將應用搬遷到Amazon EC2上。,"(D) 每一次調用API,就增加一秒延遲。",cht,DVA,cht
"有一個 AWS Elastic Beanstalk 應用需要 部署至多個區域,且在不同的地區都需要有不同的Amazon Machine Image。 下列哪種方式可以讓 AWS CloudFormation 在每一區域精準匹配到正確的AMI?",(A) Parameters,(B) Outputs,(C) Mappings,(D) Resources,cht,DVA,cht
"開發人員需要設計一個在AWS上運行的應用程序,該應用程序會使用的SQS消息大小介於1 KB到1GB之間。 Amazon SQS消息應如何管理?","(A) 使用S3,並結合SQS的命令列",(B) 使用S3並結合SQS的延伸Java客戶端,"(C) 使用EBS,並結合SQS的命令列","(D) 使用EFS,並結合SQS的命令列",cht,DVA,cht
"一個應用程序每晚在DynamoDB中為數百個辦公室中的大量員工存儲工資信息。 項目屬性包括個人名稱,辦公室標識符和累計每日工作時間。 經理針對他們辦公室中工作的姓名範圍運行報告。 另外有一個查詢是 “提取出辦公室內姓名開頭為A到E的資料”。 哪種表配置對此查詢的預配置吞吐量影響最小?","(A) 替表格設定兩種索引,以姓名屬性作雜湊索引,並以辦公室標識符當作範圍索引。","(B) 替表格設定兩種索引,以姓名屬性作範圍索引,並以辦公室標識符當作雜湊索引。","(C) 以姓名屬性作雜湊索引,不設置任何範圍索引。","(D) 以辦公室標識符當作雜湊索引,不設置任何範圍索引。",cht,DVA,cht
"有一個在AWS的應用,正使用第三方API。 開發者需要在程式碼裡面監控該API的錯誤次數,並且想要能在該API失敗超過閥值時,收到通知。工程師應該要怎麼樣滿足這個需求?","(A) 在Amazon CloudWatch上發布自定義指標,並使用Amazon SES進行通知。",(B) 使用Amazon CloudWatch API錯誤指標並使用Amazon SNS進行通知。,(C) 使用Amazon CloudWatch API錯誤指標並使用Amazon SES進行通知。,"(D) 在Amazon CloudWatch上發布自定義指標,並使用Amazon SNS進行通知。",cht,DVA,cht
"AWS CodeBuild 可以用來構建應用程式,創建Docker鏡像,並將鏡像推送至Amazon Elastic Container Registry(ECR),並為該鏡像做特有標籤。若開發者的工作站裡面已經安裝了AWS 命令列, 要如何將Docker鏡像從 ECR內拉下來?",(A) 運行下面語句:docker pull REPOSITORY URI : TAG,"(B) 運行下面語句的輸出: 
aws ecr get-login 
而後再運行:
docker pull REPOSITORY URI : TAG","(C) 運行下面語句:
aws ecr get-login 
而後再運行:
docker pull REPOSITORY URI : TAG","(D) 運行下面語句的輸出:
aws ecr get-download-url-for-layer 
而後再運行:
docker pull REPOSITORY URI : TAG",cht,DVA,cht
"開發人員實現了一個Lambda函數,該函數會將新客戶添加到RDS數據庫中,預期每小時會運行Lambda函數數百次。 Lambda函數配置為使用512MB RAM,並且基於偽代碼做了測試:,開發人員注意到Lambda執行時間比預期的要長得多。 開發人員應該怎麼做才能提高性能?","(A) 增加分配給Lambda函數的RAM數量,這將增加Lambda可以使用的線程數。","(B) 增加RDS數據庫的大小,使每小時能乘載的數據庫連接數增加。",(C) 將數據庫連接和close語句移出處理程序。 將連接放置在全局空間中。,"(D) 將RDS替換為Amazon DynamoDB,以實現對每秒寫入次數的控制。",cht,DVA,cht
"EBS為儲存基底的實例和以實例儲存區為基底的實例,有哪個關鍵的不同?","(A) 在虛擬私有雲端裡面,需要使用EBS為基底的實例。",(B) Amazon EBS為基底的實例可以停止運行或重啟。,(C) Auto Scaling 需要使用以EBS為基底的實例。,(D) instance store為基底的實例可以停止運行或重啟。,cht,DVA,cht
"有一個應用會以非常高速的方式從多個資料源中取用數據,並且把數據存在S3的桶子內。下列哪個服務能夠非常好地完成此目標?",(A) Amazon Kinesis Firehose,(B) Amazon S3 Acceleration Transfer,(C) Amazon SQS,(D) Amazon SNS,cht,DVA,cht
"開發人員為Web應用程序後端創建了Lambda函數。從AWS Lambda控制台測試Lambda函數時,開發人員可以看到該函數正在執行,但是即使在幾分鐘後,Amazon CloudWatch Logs也沒有生成日誌數據。是什麼導致這種情況?","(A) Lambda函數沒有任何明確的記錄陳述式,將日誌數據發送到CloudWatch Logs。",(B) Lambda函數缺少CloudWatch Logs作為發送日誌數據的源觸發器。,(C) Lambda函數的執行角色缺少將日誌數據寫入CloudWatch Logs的許可。,(D) Lambda函數缺少目標CloudWatch Log群組。,cht,DVA,cht
"當開發者想要運行CodeBuild專案時,因為所有環境變數的長度超過了最大字元限制,而發生了錯誤。請問有什麼推薦的解決方案?","(A) 在預先部署階段,使用LC_ALL='en_US.utf8' 指令,確保作業系統本地化。",(B) 透過Amazon Cognito以鍵值形式儲存大量的環境變數。,"(C) 為了要更新構建專案的設定值,採用S3儲存大量的環境變數。",(D) 用AWS 系統管理參數庫去儲存大量的環境變數。,cht,DVA,cht
"一家公司使用Amazon DynamoDB來管理和跟踪訂單。 DynamoDB依照訂單日期該欄位,為表格製作了分區。 而該公司在銷售活動期間收到了大量訂單,這導致DynamoDB寫入資料受到了限制,但消耗的吞吐量遠遠低於預配置的吞吐量。 根據AWS最佳實踐,如何以最低的成本解決此問題?",(A) 為每一個訂單的日期創建一張新的DynamoDB表格,(B) 增加DynamoDB 表格的讀寫容量單位。,(C) 為分區鍵的內容增加亂數前綴詞。,(D) 為DynamoDB 表格增加一個全域二級索引,cht,DVA,cht
"一間公司使用Amazon API Gateway 去管理以AWS Lambda所建置的一系列微服務。 根據異常報告,這個公司對其中一隻API進行了重大變動。為了避免在部屬的時候,造成現有客戶影響,該公司想要給用戶六個月的緩衝期,把版本從v1升級到v2。開發人員應使用哪種方法來處理此更改?","(A) 更新底層的Lambda函數,並提供用戶新的Lambda調用位置。","(B) 使用API Gateway自動將更改傳播到客戶端,並在分階段部署參數中指定180天。","(C) 用API Gateway 替API部署至新的階段 v2,並提供用戶新的網址。","(D) 更新底層的Lambda函數, 並以其為資料源,使用CloudFront做傳播。",cht,DVA,cht
"股市監控應用程序從Amazon Kinesis內提取數據。 在峰值數據速率的模擬測試期間,Kinesis流無法跟上輸入數據的速度。 Kinesis可以採取哪些步驟來乘載高峰時段的流量?","(A) 安裝 Kinesis Producer Library,並使用其提取數據放入串流中。","(B) 減少數據保留時間,以使用DecreaseStreamRetentionPeriod吸收更多數據。",(C) 使用UpdateShardCount增加串流的分片數。,"(D) 透過PutRecords,在一次調用中,將多筆數據提取至串流內。",cht,DVA,cht
"有間公司目前正在把本地的單體網路應用伺服器移轉到AWS上,該公司打算在Elastic Load Balancer(ELB)後面使用多個服務器來平衡負載。由於該網路應用目前是將用戶的會話資料存放在伺服器內的記憶體中。 該公司不希望當伺服器損毀時,會遺失用戶的會話資料,並且想要最小化用戶的停機時間。下列哪一種方法能夠以最有效率且容錯的方式,保存用戶的會話資料?",(A) 在ElastiCache上啟用Redis叢集,(B) 增加第二顆 EBS 卷,(C) 存放在網頁伺服器的主要硬碟上。,(D) 以一台EC2實例專門存放會話資料,cht,DVA,cht
"開發團隊想要他們的程式碼能夠提供更多的資訊給AWS X-Ray,而不僅是簡單的流入流出請求。 這將會產生大量的數據,於是開發團隊試圖為這些資料進行索引,以利於後續的過濾。 該開發團隊應該怎麼樣完成這個目標?",(A) 為文件與程式碼加上聲明,(B) 為文件與程式碼加上元數據,(C) 設定必要的X-Ray環境變數,(D) 安裝適當的AWS開發工具包所需的插件,cht,DVA,cht
開發人員必須基於Amazon DynamoDB表中的資料生命週期活動來觸發AWS Lambda函數。 開發人員如何創建解決方案?,"(A) 為SNS消息啟用DynamoDB串流,當SNS Message發送的時候,同步驅動Lambda函數。","(B) 為SNS消息啟用DynamoDB串流,當SNS Message發送的時候,異步驅動Lambda函數。","(C) 啟用DynamoDB串流,並從該串流同步驅動Lambda函數。","(D) 啟用DynamoDB串流,並從該串流異步驅動Lambda函數。",cht,DVA,cht
"開發者寫了一個應用,並使其運行在EC2實例內。應用運行時,每分鐘會生成一個數值。開發者想要再不登入該實例的情況下,監控該數值,並進行資料視覺化。哪一個方案可以讓開發者達到此目標?",(A) 以CloudWatch的圖表對所有EC2實例預設的檢視內容值進行匯總報告。,(B) 為該應用在每一分鐘都存一次日誌紀錄點。,"(C) 使用可用的AWS開發工具組將每個生成的值作為自定義指標,發佈到Amazon CloudWatch","(D) 每個系統內容值存儲為變量,並將變量添加到應報告給Amazon CloudWatch控制台的EC2指標列表中",cht,DVA,cht
"開發人員需要部署應用程序在基於AWS Fargate上運行的AmazonECS。 該應用程序具有必須傳遞給容器的環境變量才能進行應用程序初始化,應如何將環境變量傳遞給該容器?","(A) 在服務定義內的環境參數,定義一個包含環境變量的數組。","(B) 在任務定義內的環境參數,定義一個包含環境變量的數組。","(C) 在任務定義內的entrypoint參數,定義一個包含環境變量的數組","(D) 在服務定義內的entryPoint參數,定義一個包含環境變量的數組。",cht,DVA,cht
"開發人員正在設計一個使用Amazon S3的新應用程序。 為了滿足合規性要求,開發人員必須加密靜態數據。 開發人員如何才能做到這一點?",(A) 將s3:x-amz-acl 作為 S3桶子策略裡的條件。,(B) 使用Amazon RDS 並啟用預設加密。,(C) 將aws:SecureTransport 作為 S3桶子策略裡的條件。,(D) 啟用S3桶子的預設加密。,cht,DVA,cht
"在AWS Elastic Beanstalk的多容器Docker環境中,配置容器實例時,有什麼是必須要設定的?",(A) 一份Amazon ECS的任務定義。,(B) 一個Amazon ECS叢集。,(C) 應用程序包內的Docker,(D) Elastic Beanstalk的命令列,cht,DVA,cht
"有一個老舊的本地應用,會將資料緩存在本地端,並寫入一個共享用的圖片在本地的硬碟。 若要把這個應用移轉到AWS上,並能夠讓其水平擴展,要如何做?","(A) 修改程序,同時共享圖片,並將資料緩存在EBS上。","(B) 修改程序,使其在S3上讀寫緩存資料,並把共享圖片放在S3上。","(C) 修改應用程序,以Amazon S3提供共享圖像; 然後將數據寫入本地磁盤做緩存。","(D) 修改應用程序,以Amazon S3做緩存,在上面讀寫數據,同時將共享圖片寫入本地磁盤。",cht,DVA,cht
"開發人員使用AWS CodeDeploy自動化連接到外部MySQL數據庫的應用程序部署。 開發人員希望安全地訪問加密的機密信息,例如API密鑰和數據庫密碼。 以下哪項解決方案會盡可能減少管理上的負擔?","(A) 使用AWS KMS服務器端加密將機密資料保存在Amazon S3中,並通過使用Amazon EC2實例中的IAM角色來訪問該物件已使用簽名的URL。","(B) 使用實例的元數據去儲存機密資料,並讓EC2實例透過程式碼的方式去存取該些機密資料。","(C) 使用Amazon DynamoDB客戶端的加密庫對機密資料進行加密,而後保存在DynamoDB中,並讓EC2實例能夠透過程式存取該些資料。","(D) 使用AWS SSM參數存儲來存儲機密資料,並通過使用EC2實例中的IAM角色以編程方式訪問它們。",cht,DVA,cht
"開發人員使用Amazon API Gateway,Amazon S3,AWS Lambda和Amazon RDS為應用程序創建了儀表板。開發人員需要一種身份驗證機制,以允許用戶登錄並查看儀表板。必須可以從移動應用程序,台式機和平板電腦上訪問它,並且必須記住跨平台的用戶首選項。開發人員應使用哪種AWS服務來支持此身份驗證場景?",(A) AWS KMS,(B) Amazon Cognito,(C) AWS Directory Service,(D) Amazon IAM,cht,DVA,cht
"有一間公司,其在AWS上託管了一個多層式網路應用。 最近的流量激增,其RDS內的其中一個資料庫無法負荷所有的流量。有一些讀取操作經常重複查詢特定資料,造成該些資料的存取異常,用戶收到錯誤消息。下列哪個方法夠最小化因為流量激增而造成資料庫重複讀取問題?",(A) 用 S3來緩存資料庫的查詢結果。,(B) 把RDS當作Cloudfront的客製化存取源。,(C) 使用EC2實例的記憶體與本地空間來緩存資料。,"(D) 在主資料庫之前,使用ElastiCache緩存資料。",cht,DVA,cht
名為healthcheckurl.config的Elastic Beanstalk配置文件應放在應用程序源包中的何處?,(A) 應用程序根層目錄,(B) 在bin資料夾內,(C) In healthcheckur1.config.ebextension under root,(D) 在 . ebextensions 資料夾內,cht,DVA,cht
"在非巔峰時段,有一個開發工程師想要在不影響正常運作的情況下,最小化Amazon DynamoDB的全表掃描運行時間。 在非高峰時段,工作負載僅需消耗一半的強一致性讀取容量單位。 開發人員將如何優化此掃描?","(A) 多次同時掃描表格的時候,限制速率",(B) 使用順序性掃描,"(C) 在讀取操作的時候,增加讀取容量空間","(D) 在掃描操作的過程中,將一致性改為最終一致性",cht,DVA,cht
"您正在為一家開發新的移動應用程序的公司提供AWS諮詢服務,該公司將利用Amazon SNS Mobile Push進行推送通知。為了將直接通知消息發送到各個設備,每個設備註冊標識符或令牌都需要向SNS註冊;但是開發人員不確定執行此操作的最佳方法。您建議他們:","(A) 通過AWS管理控制台,批量上傳CSV文件中包含的設備令牌。",(B) 讓推送通知服務(例如Amazon Device Messaging)處理註冊。,(C) 實作令牌發送服務來處理註冊。,(D) 調用CreatePlatformEndPoint API函數來註冊多個設備令牌。,cht,DVA,cht
"一家公司擁有一個面向互聯網的應用程序,該應用程序使用Web Identity Federation從AWS Security Token Service(AWS STS)獲取臨時證書。然後,該應用程序使用令牌訪問AWS服務。查看以下響應:根據顯示的響應,哪些許可權與來自應用程序的調用相關聯?",(A) 與角色AROACLKWSDQRAOEXAMPLE:app1相關的權限,(B) 與構建AWS服務時使用的默認角色相關的權限,(C) 與擁有AccessKeyID ASgeIAIOSFODNN7EXAMPLE的IAM principal 相關的權限,(D) 與擁有AWS服務的賬戶相關的權限,cht,DVA,cht
以下哪項是提供預配置吞吐量效率的良好DynamoDB哈希鍵架構的示例?,"(A) 用戶ID,其中應用程序具有許多不同的用戶。","(B) 狀態代碼,大多數狀態代碼相同","(C) 設備ID,其中一個ID比其他所有ID都受歡迎。","(D) 遊戲類型,共有三種可能的遊戲類型",cht,DVA,cht
"開發人員寫了一個Lambda函數,並且發現該函數在執行任務時所花費的時間比預期的要長。 經過一些調試後,開發人員發現增加計算效能可以提高性能。 開發人員如何增加Lambda計算資源?",(A) 運行一個有更多運算能力的實例。,(B) 增加最大執行時間。,"(C) 在調度Lambda函數的時候,指定要有更大的運算能力。",(D) 為Lambda函數增加更多記憶體。,cht,DVA,cht
"開發人員正在將關鍵日誌數據發佈到2個月前創建的Amazon CloudWatch Lops中的日誌組中。 開發人員必須使用AWS KMS客戶主密鑰(CMK)加密日誌數據,以便可以對以後的數據進行加密以符合我公司的安全策略。開發人員如何滿足此要求?",(A) 使用CloudWatch Log 並對裡面的Log群組去啟用加密功能。,"(B) 透過 aws命令內的 create-log-group指令,並指明Amazon的資源名。","(C) 透過KMS介面,並使用用戶的金鑰去關聯該日誌群組。","(D) 透過 aws命令內的 associate-Kms-key指令,並指明Amazon的資源名。",cht,DVA,cht
"有一位工程師透過本地開發環境的AWS Cli去管理AWS服務。如何能確保開發者在使用該AWS Cli時,使用的是其自身的IAM權限?","(A) 在每次使用AWS命令列時,都將該開發者的IAM存取金鑰ID與安全存取金鑰,當作參數傳入。","(B) 執行 aws configure註冊指令,並輸入開發者的IAM存取金鑰ID與安全存取金鑰。","(C) 在每次使用AWS命令列時,都將該開發者的IAM用戶名與密碼,當作參數傳入。","(D) 使用AWS命令列時,使用開發者的IAM角色",cht,DVA,cht
"下列關於SQS的描述,哪些是正確的?","(A) 消息至少會發送一次,並且是以先進先出的順序發送。","(B) 消息至少會發送一次,但消息發送的順序是不可決定的。","(C) 消息至少會發送一或多次,並且是以先進先出的順序發送。","(D) 消息至少會發送一或多次,但消息發送的順序是不可決定的。",cht,DVA,cht
一家公司正在使用持續集成和持續交付系統。開發人員現在需要自動將軟件包部署同時部署到Amazon EC2實例和本地運行的虛擬服務器。應該使用哪種AWS服務來完成此任務?,(A) AWS CodePipeline,(B) AWS CodeBuild,(C) AWS Elastic Beanstalk,(D) AWS CodeDeploy,cht,DVA,cht
"有一個CloudFormation模板,其使用了AWS無伺服器化應用模型(SAM),為了要讓SAM的物件能夠被保留,下列哪一個資源應該要寫在該文件的根位置?",(A) Conditions,(B) Globals,(C) Transform,(D) Properties,cht,DVA,cht
開發人員正在嘗試使用SDK進行API調用。應用程序使用的IAM用戶憑據需要對所有API調用進行多因素身份驗證。開發人員使用哪種方法訪問受多因素身份驗證保護的API?,(A) GetFederationToken,(B) GetCallerIdentity,(C) GetSessionToken,(D) DecodeAutherizationMessage,cht,DVA,cht
"開發人員執行了AWS CLI命令,並收到一串加密錯誤消息,開發人員應採取什麼措施,使此錯誤能讓人易於理解?",(A) 調用AWS KMS 為訊息進行解碼。,(B) 使用 AWS STS的 decode-authorization-message api 對消息進行解碼。,"(C) 透過開源的解碼函式庫,去解碼消息。",(D) 使用 AWS IAM的 decode-authorization-message api 對消息進行解碼。,cht,DVA,cht
"公司正在向許多下游消費者提供服務。每個消費者可以連接到一個或多個服務。這導致了一個複雜的體系結構,該體系結構難以管理並且無法很好地擴展。該公司需要一個單一的界面來管理對消費者的這些服務。應該使用哪種AWS服務來重構該架構?",(A) AWS Lambda,(B) AWS X-Ray,(C) Amazon SQS,(D) Amazon API Gateway,cht,DVA,cht
"開發人員正在以AWS CloudFormation創建部署應用程序的模板。 該應用程序是無服務器的,並使用Amazon API Gateway,Amazon DynamoDB和AWS Lambda。 開發人員應使用哪種工具來定義用於表達無服務器資源的簡化語法?",(A) CloudFormation 無伺服器固有函數,(B) AWS serverless express,(C) aws 無伺服器化應用模型,(D) cloudformation 無伺服器化模組,cht,DVA,cht
"應用程序需要40秒鐘來處理Amazon SQS消息中收到的指令。 假設為SQS隊列配置了默認的VisibilityTimeout值,那麼在收到消息後,為了確保沒有其他實例可以檢索已被處理或當前正在處理的消息的最佳方式是什麼?","(A) 使用 ChangeMessageVisibility API 去增加可見性逾時, 然後使用 DeleteMessage API 去刪除該消息。","(B) 使用 DeleteMessage API 從隊列裡刪除該消息,並調用 DeleteQueue API 去移除佇列。","使用 ChangeMessageVisibility API 去減少可見性逾時, 然後使用 DeleteMessage API 去刪除該消息。","(D) 使用 DeleteMessageVisibility API 去取消可見性逾時, 然後使用 DeleteMessage API 去刪除消息",cht,DVA,cht
"公司需要用於協作軟件開發的版本控制系統。 系統功能必須包括以下內容:
*支持對多個文件進行批量更改
*並行多分支
*版本跟踪
下列哪種AWS服務能滿足這些要求?",(A) AWS CodePipeline,(B) Amazon S3,(C) AWS Code Build,(D) AWS CodeCommit,cht,DVA,cht
