question,optionA,optionB,optionC,optionD,language,category,language2
"你目前正打算移轉開發環境與測試環境到AWS雲端服務上,且已經決定要用不同的AWS帳號來裝載環境,也計畫要將那些AWS帳號透過合併帳單這個功能,連結到主要的AWS帳號上。為了確保主要AWS帳號能夠管理預算,必須讓主要帳號的管理員帳號能夠連入開發與測試帳號內,關閉、刪除或銷毀資源。 下列哪一個選項,可以協助我們達到目的?","(A) 在具有完全管理員權限的主帳戶中創建IAM用戶。 在開發和測試帳戶中創建跨帳戶角色,並通過從主帳戶繼承權限來授予主帳戶訪問該帳戶中資源的權限。","(B) 在主帳戶中創建IAM用戶和跨帳戶角色,授予開發和測試帳戶完全的管理員權限。","(C) 在主帳戶中創建IAM用戶,在開發和測試帳戶中創建跨帳戶角色,此角色具有完全管理員權限,並授予主帳戶訪問權限。",(D) 使用合併帳單鏈接帳戶。 這將使主帳戶中的IAM用戶可以訪問開發和測試帳戶中的資源,cht,SAA,cht
"一個應用程序產生每月報告,必須在7天內立即對其進行訪問。 7天后,可以將數據封存歸檔。遵從策略要求,在請求後的24小時內必須能檢索已歸檔的數據。滿足合規性要求的最具成本效益的方法是什麼?","(A) 使用生命週期規則將數據存儲在Amazon S3 標準儲存類型中,7天後將數據轉換到Amazon S3 標準-不常存取(S3 Standard-IA),然後在30天後轉存到GLACIER儲存類型。","(B) 使用生命週期規則將數據存儲在Amazon S3 標準儲存類型中,7天後將數據轉換到Amazon S3 標準-不常存取(S3 Standard-IA)。","(C) 使用生命週期規則將數據存儲在Amazon S3 標準儲存類型中,30天後將數據轉存為GLACIER儲存類型。","(D) 使用生命週期規則將數據存儲在Amazon S3 標準儲存類型中,7天後將數據轉存為GLACIER儲存類型。",cht,SAA,cht
"公司有一個存儲敏感數據的應用程序。政府法規要求該公司為其數據儲存多個副本。為滿足此要求,最具彈性和成本效益的選擇是什麼?",(A) Amazon EFS,(B) Amazon RDS,(C) AWS Storage Gateway,(D) Amazon S3,cht,SAA,cht
"在刪除EBS卷之前,如果以後要重新創建該卷怎麼辦?",(A) 創建EBS磁碟區的副本(不是快照),(B) 儲存此磁碟區的快照,(C) 將內容下載到EC2執行個體,(D) 將數據備份到物理磁盤,cht,SAA,cht
"客戶需要每五分鐘從其負載均衡器中捕獲所有客戶端連接信息。該公司希望使用這些數據來分析流量模式,並對其應用程序進行故障排除。以下哪個選項可以滿足客戶要求?",(A) 在負載均衡器上啟用訪問日誌,(B) 為負載均衡器啟用AWS CloudTrail,(C) 在負載均衡器上啟用Amazon CloudWatch指標,(D) 在負載均衡器上安裝Amazon CloudWatch Logs代理程式,cht,SAA,cht
"客戶需要每五分鐘從其負載均衡器中捕獲所有客戶端連接信息。該公司希望使用這些數據來分析流量模式,並對其應用程序進行故障排除。以下哪個選項可以滿足客戶要求?",(A) 在負載均衡器上啟用訪問日誌,(B) 在負載均衡器上啟用Amazon CloudWatch指標,(C) 為負載均衡器啟用AWS CloudTrail,(D) 在負載均衡器上安裝Amazon CloudWatch logs代理程式,cht,SAA,cht
"有一個應用堆棧,它的公有網段裡,有一個ELB,並且還有一個AutoScaling群組,裡面有一些EC2執行個體,並帶有一個RDS MySQL叢集。用戶透過Internet的方式連結到此應用,而這個應用的應用伺服器與資料庫必須得是安全的。下列哪個選項能讓架構師合理實踐這個任務?","(A) 為Amazon EC2執行個體創建一個私有子網,為Amazon RDS集群創建一個公共子網。","(B) 為Amazon EC2執行個體創建一個私有子網,為Amazon RDS集群創建一個私有子網。","(C) 為Amazon EC2執行個體創建一個公共子網,為Amazon RDS集群創建一個私有子網。","(D) 為Amazon EC2執行個體創建一個公共子網,為Amazon RDS集群創建一個公共子網。",cht,SAA,cht
"您正在構建一個API後端服務,yourcompany.com。該API是通過API Gateway和Lambda實現的。已使用curl成功測試了API。而後撰寫了javascript,要讓公司網站www.yourcompany.com上的網頁可透過該javascript去調用API。但當您在瀏覽器中訪問該頁面時,出現以下錯誤:“相同的原始策略不允許讀取遠程資源”,出現此情境,應當如何設定,讓您的公司網頁調用API?",(A) 在API閘道中禁用CORS,(B) 在Javascript前端中啟用CORS,(C) 在Javascript前端中禁用CORS,(D) 在API閘道中啟用CORS,cht,SAA,cht
"客戶端應用程序需要對關係數據庫服務器上的作業系統做操作。以下哪一個方案,是針對此情境的高可用性數據庫架構的適當配置?",(A) 一個獨立的Amazon EC2執行個體,(B) 多可用區配置中的Amazon RDS,"(C) 在單個可用區域內,啟用一些具有複寫設定的EC2實例。","(D) 在兩個可用區域內,啟用一些具有複寫設定的EC2實例。",cht,SAA,cht
"公司需要將數據存儲5年。關於該些數據,公司需要在任何時間點都具有即時且高度可用的訪問權限,但無需頻繁訪問。在考量降低成本的同時,應採取什麼樣的數據生命週期處理來滿足要求?",(A)   將物件從Amazon S3 標準轉換到Amazon S3 標準-不常存取(S3 Standard-IA),(B) 轉換的物件在5年後失效,(C) 將物件從Amazon S3 Standard轉換到Amazon S3 單區域 – 不常存取(S3 One Zone-IA),(D) 將物件從Amazon S3 標準轉換到GLACIER存儲類,cht,SAA,cht
"哪種災難恢復方法是以主動-主動的配置,在AWS中和現有基礎架構上運行您的站點?",(A) 多站點解決方案,(B) 主動-被動解決方案,(C) 指示燈,(D) 暖待機解決方案,cht,SAA,cht
"下面哪一個介面功能是可以在IAM服務上找到做使用的?
(A) AWS管理控制台
(B) 命令列介面
(C) IAM API
(D) 已存在的開發套件",(A) 僅通過命令行界面(CLI),"(B) A,B和C",(C) A 和 C,(D) 以上皆可,cht,SAA,cht
"您的任務是設置Linux堡壘主機,以訪問在VPC中運行的Amazon EC2執行個體。僅有從公司本地的公共IP地址72.34.51.100連接的客戶端才具有對Linux堡壘主機的SSH訪問權限。哪個選項可以滿足客戶要求?","(A) 安全組入站規則:協議-TCP。 端口範圍-22,來源72.34.51.100/32","(B) 安全組入站規則:協議-UDP,端口範圍-22,來源72.34.51.100/32","(C) 網路ACL入站規則:協議-UDP,端口範圍-22,來源72.34.51.100/32","(D) 網路ACL入站規則:協議-TCP,端口範圍22,來源72.34.51.100/0",cht,SAA,cht
"您有2個Ubuntu執行個體位於同一VPC的不同子網中。您認為這些執行個體應該能夠相互通信,但是當您嘗試從一個執行個體ping到另一個執行個體時,就會超時。路由表看起來是有效的,可在VPC本地內自由流動。以下哪個可能是此問題的有效原因?","(A) 執行個體用錯AMI,因此您無法ping這個執行個體。",(B) 該安全組尚未允許該流量訪問。,"(C) 執行個體沒有公共IP,因此ping的命令可以被路由","(D) 執行個體沒有彈性IP,因此ping的命令可以被路由",cht,SAA,cht
"一家公司正在開發一個會在Amazon EC2上運行的新服務,該服務必須創造巨量圖像的縮略圖。系統將在此過程中將臨時數據寫入存儲服務內。下列哪種存儲服務最適合這種情況?",(A) EC2執行個體存放區,(B) Amazon EFS,(C) Amazon CloudSearch,(D) Amazon EBS 輸送量最佳化 HDD (st1),cht,SAA,cht
"應用程序使用Amazon RDS MySQL數據庫的單執行個體部署。數據庫具有密集的讀取操作,並且繁重的負載導致性能問題。用戶如何提高性能?",(A) 創建只讀副本,(B) 在多個Amazon EBS磁碟區之間條帶化數據,(C) 切換到Multi-AZ RDS數據庫,(D) 每小時獲取一次數據庫快照,cht,SAA,cht
"有一個唯讀的新聞報導網站,其架構採混合式三層架構,網頁、應用、資料庫。其會收到大量未預期的流量,該網站希望能夠自動地對該些流量作出回應。請問應該使用哪些AWS服務來滿足這些需求?","(A) 
無狀態執行個體的網頁和應用層,這些執行個體使用Elasticache Memcached作工作狀態同步,經由CloudWatch監控且在autoscaling群組中。以及具有唯讀副本的RDS","(B) 帶狀態執行個體的網頁和應用層,這些執行個體經由CloudWatch監控且在autoscaling群組中。以及具有唯讀副本的RDS。","(C) 帶狀態執行個體的網頁和應用層,這些執行個體經由CloudWatch監控且在autoscaling群組中。以及啟用Multi-AZ的RDS。","(D) 無狀態執行個體的網頁和應用層,這些執行個體使用Elasticache Memcached作同步,經由CloudWatch監控且在autoscaling群組中。以及啟用Multi-AZ的RDS。",cht,SAA,cht
"當前,兩個Auto Scaling應用程序(應用程序A和應用程序B)在一組共享的子網中運行。解決方案架構師希望確保應用程序A可以向應用程序B發出請求,但是應該拒絕應用程序B向應用程序A發出請求。哪種解決方案可以實現此策略?",(A) 使用參考'其他應用程序的安全組'的安全組,(B) 使用參考'應用程序服務器的IP地址'的安全組,"(C) 使用網路存取控制清單,基於應用程序IP地址來允許/拒絕流量",(D) 遷移應用程序來將子網分開,cht,SAA,cht
"有一間公司在AWS的VPC內運行了一個三層式網路應用,其中還在公開網段內設計了一個NAT執行個體。此架構的負載容量,在未來的財務年裡是足以應用的,而在兩天後,網頁層變得沒有反應,透過CloudWatch及其他監控工具發現,是因為有特定15個非顧客使用的ip,透過80端口,傳來了巨量的流量,導致網頁層過載,讓公司的系統管理員也無法SSH進去系統內。 請從下列選項中,挑一個能夠有效阻擋該網路攻擊的方案。","(A) 創建與網頁層關聯的自定義路由表,並從IGW(internet Gateway)封鎖攻擊的IP地址","(B) 更改網頁層子網中NAT執行個體的EIP(彈性IP地址),並使用新的EIP更新主路由表",(C) 創建15個安全組規則來封鎖80埠上攻擊的IP地址,"(D) 創建與網頁層子網關聯且具有拒絕規則的入站NACL(網絡存取控制清單),以阻止攻擊性IP地址",cht,SAA,cht
"客戶需要將基於NoSQL的數據存儲服務,部署到Amazon EC2執行個體。 該NoSQL軟件具有本地複制功能,以確保數據存儲的持久性。以下哪個存儲選項最具成本效益並且對於數據存儲而言性能最佳?",(A) Amazon EBS 磁帶磁碟區,(B) Amazon EBS佈建IOPS磁碟區,(C) Amazon EBS一般用途SSD磁碟區,(D) 基於SSD的Amazon EC2執行個體存放磁碟區,cht,SAA,cht
"一家公司在本地機房內託管網站,該網站混合了靜態和動態內容,但是用戶在加載靜態文件時會遇到延遲。哪種AWS服務可以幫助減少延遲?",(A) 以本地服務器為來源的Amazon CloudFront,(B) ELB應用程序負載平衡器,(C) Amazon Route 53 延遲路由,(D) 用Amazon EFS儲存和提供靜態文件,cht,SAA,cht
"有一個遊戲應用程序,其在很大程度上依賴於緩存,其使用了Amazon ElasticCache for Redis。由於緩存節點發生故障,至使應用程序性能下降。解決方案架構師應該提出什麼建議,以最大程度地降低性能下降的影響?",(A) 從ElasticCache遷移到Amazon RDS,(B) 配置自動備份以保存緩存數據,(C) 配置具有自動故障轉移功能的多可用區ElasticCache,(D) 使用Auto Scaling根據CPU使用率配置緩存節點,cht,SAA,cht
"舊版應用程序需要使用iSCSI與本地存儲進行交互。團隊需要設計一個可靠的存儲解決方案,以在AWS上配置所有新存儲。哪種存儲解決方案符合舊應用程序要求?","(A) AWS Snowball儲存老舊應用程序,直到可以重新構建該應用程序為止","(B) 為舊版應用程序存放區使用緩存模式的AWS Storage Gateway,將數據寫入AmazonS3","(C) 為舊版應用程序儲存區使用存儲模式的AWS Storage Gateway,將數據寫入Amazon S3。","(D) 使用檔案閘道服務,在本地舊版應用程序服務器上掛載Amazon S3磁碟區",cht,SAA,cht
"解決方案架構師正在使用Amazon ECS設計基於微服務的應用程序。該應用程序包括一個WebSocket組件,流量需要基於URL在微服務之間分配。架構師應選擇哪種服務來分配工作負載?",(A) ELB Classic Load Balancer,(B) Amazon Route 53 DNS,(C) ELB Application Load Balancer,(D) Amazon CloudFront,cht,SAA,cht
"一家公司將應用程序數據存儲至跨多個AWS區域的Amazon S3存儲桶中。同時公司政策要求在公司總部生成加密密鑰,而後讓加密密鑰在生成後存儲在AWS中。解決方案架構師必須考量如何配置跨區域複製,加密數據需求,同時又需要最少的運營開銷。下列哪種解決方案將滿足方案架構師?",(A) 設定應用程序來使用客戶端加密寫入S3儲存貯體。,(B) 設定S3儲存貯體為使用AES-256進行加密。,"(C) 使用AWS CLI設定S3物件加密,並通過AWS KMS管理的密鑰進行伺服器端加密(SSE-KMS)","(D) 設定S3儲存貯體,並通過AWS KMS管理的密鑰進行伺服器端加密(SSE-KMS),此密鑰含有從兩個區域匯入的金鑰材料。",cht,SAA,cht
"開發人員正在為讀寫非常密集的小型數據庫創建新的在線事務處理(OLTP)應用程序。數據庫中的其中一個表格全天不斷更新,開發人員希望確保數據庫性能保持一致。哪個Amazon EBS存儲選項將實現最一致的性能以幫助維持應用程序性能?",(A) 佈建IOPS SSD,(B) 一般用途SSD,(C) Cold HDD,(D) 輸送量最佳化HDD,cht,SAA,cht
"您正在將現有企業應用程序遷移到AWS。它需要一個檔案系統,能讓多台EC2執行個體進行標准文件系統訪問。它還需要高存儲吞吐量和持續較低的延遲。您正在尋找一種可以自動增加和減少容量的存儲解決方案。您如何在AWS中完成此任務?",(A) 創建可以滿足應用程序儲存要求的Amazon S3儲存貯體,"(B) 啟動dense storage節點類型的Amazon Redshift集群,讓應用程序一起使用","(C) 創建一個Amazon EFS文件系統,並將其掛載在所有應用程序執行個體",(D) 啟動EBS後端的EC2執行個體。 與應用程序創建並共享NFS容量,cht,SAA,cht
"客戶端想將舊版Web應用程序遷移到AWS Cloud。當前系統使用Oracle數據庫作為關係數據庫管理系統解決方案。每晚進行備份,目前數據存放在本地端。解決方案架構師必須自動化備份,並確定存儲解決方案,同時保持較低的成本。哪種AWS服務將滿足這些要求?",(A) Amazon RDS,(B) Amazon RedShift,(C) Amazon DynamoDB Accelerator,(D) Amazon ElastiCache,cht,SAA,cht
一家公司計劃將AWS用於所有新的批處理工作負載。該公司的開發人員使用Docker容器進行新的批處理。系統設計必須適應全天性的關鍵和非關鍵批處理工作負載。解決方案架構師應如何以經濟高效的方式設計此架構?,(A) 購買預留執行個體以運行所有容器。 使用Auto Scaling組來安排作業。,(B) 在競價型執行個體上託管容器管理服務。 使用預留執行個體運行Docker容器。,"(C) 使用Amazon ECS和Auto Scaling組進行協調:一個使用預留執行個體,一個使用競價型執行個體。",(D) 使用Amazon ECS來管理容器協調。 購買預留執行個體來同時運行所有批處理工作負載。,cht,SAA,cht
"您擁有一個分佈式應用程序,該應用程序會定期處理多個Amazon EC2執行個體之間的大量數據。該應用程序在設計時,就已考量了能夠從故障的Amazon EC2執行個體恢復任務。請考量以最具成本效益的方式完成此任務。以下哪項符合您的要求?",(A) 競價型執行個體,(B) 預留執行個體,(C) 專用執行個體,(D) 按需執行個體,cht,SAA,cht
哪一些Amazon S3功能有助於防止意外數據丟失並從中恢復?,(A) 物件生命週期和服務訪問日誌,(B) 物件版本控制和多因素身份驗證,(C) 訪問控制和服務器端加密,(D) 網站託管和Amazon S3政策,cht,SAA,cht
"業務團隊需要一個結構化數據的存儲解決方案,用來存儲公司的所有歷史銷售數據。當前有4 TB的數據,幾年內將增長到數百TB。團隊必須能夠使用當前的商業智能工具定期對數據運行查詢。在數據集不斷增長的情況下,需要保持快速的性能。公司應使用哪種解決方案?",(A) Amazon Redshift,(B) Amazon Aurora,(C) Amazon DynamoDB,(D) Amazon S3,cht,SAA,cht
"組織希望將舊版Ruby-on Rails應用程序遷移到AWS。該應用程序不經常使用,但是在使用高峰期必須可擴展。組織需要對應用程序進行最少的代碼更改(如果有)。以下哪種解決方案可以滿足組織將應用程序遷移到AWS的要求?",(A) 將應用程序遷移到AWS Lambda,(B) 將應用程序部署到EC2執行個體,"(C) 在Amazon S3上託管應用程序,並使用Amazon CloudFront緩存靜態資產","(D) 使用令人滿意的擴展標準,為應用程序創建一個AWS Elastic Beanstalk部署",cht,SAA,cht
"解決方案架構師正在幫助客戶將應用程序遷移到AWS。該應用程序由一系列Linux服務器組成,這些服務器使用共享文件系統做數據讀寫。將該應用程序遷移到AWS的目標之一是提高存儲層的可靠性。下列哪種解決方案可以提高可靠性,同時最大程度地減少管理此基礎架構的運營開銷?","(A) 創建一個EBS磁碟區,並將其掛載到所有服務器上。","(B) 創建一個EFS文件系統,並將其掛載到所有服務器上。",(C) 創建一個可通過S3 VPC端點訪問的S3儲存貯體。,"(D) 在不同的可用區域中創建兩個EC2執行個體,當作檔案伺服器。",cht,SAA,cht
"您擁有一個環境,​​該環境由使用Amazon VPC的公共子網和在此子網中運行的3個執行個體組成。這三個執行個體可以成功與Internet上的其他主機通信。現在選用相同的AMI和安全組配置,在同一子網中啟動第四個執行個體,但是發現無法從Internet訪問該執行個體。您應該怎麼做才能啟用Internet訪問?","(A) 在第四個執行個體的主機OS中,配置公開可路由的IP地址",(B) 將NAT執行個體部署到公共子網中,(C) 修改公共子網的路由表,(D) 為第四個執行個體分配一個彈性IP地址,cht,SAA,cht
"您已經在AWS上創建了生產架構。它由一個負載均衡器,一個route53域,兩個Amazon S3存儲桶,Auto Scaling策略和用於內容交付的Amazon CloudFront組成。現在您的經理要求使用基於JSON的模板來複製此體系結構。以下哪個AWS服務可以用來實現這一目標?",(A) Amazon DynamoDB,(B) Amazon Simple DB,(C) Amazon CloudFormation,(D) Amazon Bootstrap,cht,SAA,cht
"一個組織的資料中心內存放了大量半結構化的鍵值資料,他們計劃把這批資料遷移上AWS。下列哪個方案能夠滿足他們,且顯得有效率?",(A) Amazon Redshift,(B) Amazon RDS,(C) Amazon DynamoDB,(D) Amazon Aurora,cht,SAA,cht
您有一個在Amazon VPC的私有專用子網中運行的Cassandra集群。另一個Amazon VPC中的新應用程序需要訪問此數據庫。新應用程序如何訪問數據庫?,(A) 在兩個Amazon VPC之間建立VPC對等連接。,(B) 在兩個Amazon VPC中都使用ENI設置雙宿主執行個體。,(C) 在應用程序的Amazon VPC中設置NAT閘道。,(D) 在應用程序的Amazon VPC中設置NAT閘道。,cht,SAA,cht
"應用程序需要一台具有8 TB初始存儲容量的高可用性關係數據庫。此數據庫每天將增長8 GB。為了容納預期的流量,至少需要八個唯讀副本來處理數據庫讀取。下列哪個服務可以滿足這些要求?",(A) DynamoDB,(B) Amazon S3,(C) Amazon Aurora,(D) Amazon Redshift,cht,SAA,cht
"用戶租用了一台EBS優化的機器,並配有增強式EBS。此硬碟讀寫區塊的預設空間大小值為多少KB?",(A) 128 KB,(B) 256 KB,(C) 64 KB,(D) 32 KB,cht,SAA,cht
"一間網頁設計公司為了讓他們的250名客戶能夠有效上傳與下載圖片,而運行了許多台FTP伺服器。他們希望能夠把此架構往雲端上移轉,並使得這更具彈性能擴張,但同時間還要繼續維持客戶的隱私,並將成本最小化。 您會推薦下列哪一個AWS架構給他們?","(A) 請他們的客戶使用S3客戶端來代替FTP客戶端,創建單一S3儲存貯體,為每位客戶創建IAM使用者,把IAM使用者放進一個群組中,此群組具有使用'username'變數來存取儲存貯體中子目錄的權限。","(B) 創建具有低冗餘存儲功能的單個S3儲存貯體,並要求其客戶使用S3客戶端來代替FTP客戶端。為每個客戶創建一個儲存貯體,並使用儲存貯體策略僅允許該客戶訪問。","(C) 創建FTP服務器autoscaling組,當最小網路流量低於設定的域值時自動擴展。每台執行個體的啟動user data腳本會從S3載入ftp使用者的中央清單","(D) 創建一個申請者付款儲存貯體,並要求其客戶使用S3客戶端來代替FTP客戶端。為每個客戶創建一個只有客戶能存取的儲存貯體。",cht,SAA,cht
"你的公司使用動態路由的VPN,讓本地資料中心與AWS頻繁進行互通。最近開始想要使用Direct Connect,進行串接。在透過AWS主控台設定Direct Connect後,下列哪個解決方案可以為您的用戶提供無縫接軌的用戶體驗?","(A) 刪除現有的VPN連接,以避免路由迴圈,為DirectConnect路由器配置適當的設置,並驗證網絡流量是否使用DirectConnect。","(B) 為您的DirectConnect路由器配置一個比VPN路由器更高的BGP優先級,驗證網絡流量使用Directconnect,然後刪除現有的VPN連接。","(C) 更新您的VPC路由表指向DirectConnect連接,使用適當的設定配置DirectConnect路由器,驗證網路流量是否使用DirectConnect,然後刪除VPN連接。","(D) 配置您的DirectConnect路由器,更新VPC路由表指向DirectConnect連接,為您的VPN連接設定更高的BGP優先級。 並驗證網絡流量是否使用DirectConnect連接。",cht,SAA,cht
"您的公司希望開始使用AWS,但尚未開設帳戶。您應該通過以下哪些服務開始本地開發?",(A) Amazon DynamoDB,(B) Amazon Simple Queue Service,(C) Amazon Simple Email Service,(D) Amazon CloudSearch,cht,SAA,cht
"CloudFomation 這個服務能夠讓我們以很少的時間搭建與管理AWS服務,讓我們可以花更多時間專注在自己的應用上。使用方式也相對容易,只需透過Template設定檔來完成搭建,如EC2、RDS等服務,並且讓CloudFormation來負責設定該些資源。想請教這個 Template檔案用的是什麼檔案格式?",(A) JSON格式的文檔,(B) CSS格式的文檔,(C) XML格式的文檔,(D) HTML格式的文檔,cht,SAA,cht
"解決方案架構師正在設計一個新的應用程序,該應用程序需要訪問位於同一區域內的另一個AWS賬戶中的數據。不得通過Internet訪問數據。哪種解決方案將以最低的成本滿足這些要求?",(A) 在每個帳戶中的安全組中增加規則。,(B) 在帳戶之間建立VPC對等連接。,(C) 在每個帳戶中設定直接連接。,(D) 在有資料的帳戶添加NAT閘道。,cht,SAA,cht
