question,optionA,optionB,optionC,optionD,language,category,language2
You are providing AWS consulting services for a company developing a new mobile application that will be leveraging Amazon SNS Mobile Push for push notifications. In order to send direct notification messages to individual devices each device registration identifier or token needs to be registered with SNS; however the developers are not sure of the best way to do this. You advise them to:,(A) Bulk upload the device tokens contained in a CSV file via the AWS Management Console.,(B) Let the push notification service (e.g. Amazon Device Messaging) handle the registration.,(C) Implement a token vending service to handle the registration.,(D) Call the CreatePlatformEndPoint API function to register multiple device tokens.,eng,DVA,eng
How should custom libraries be utilized in AWS Lambda?,(A) Host the library on Amazon S3 and reference to it from the Lambda function.,(B) Install the library locally and upload a ZIP file of the Lambda function.,(C) Import the necessary Lambda blueprint when creating the function.,(D) Modify the function runtime to include the necessary library.,eng,DVA,eng
"An application uses Lambda functions to extract metadata from files uploaded to an S3 bucket; the metadata is stored in Amazon DynamoD(B) The application starts behaving unexpectedly, and the Developer wants to examine the logs of the Lambda function code for errors. Based on this system configuration, where would the Developer find the logs?",(A) Amazon S3,(B) AWS CloudTrail,(C) Amazon CloudWatch,(D) Amazon DynamoDB,eng,DVA,eng
A Developer is asked to implement a caching layer in front of Amazon RDS. Cached contentis expensive to regenerate in case of service failure. Which implementation below would work while maintaining maximum uptime?,(A) Implement Amazon ElastiCache Redis in Cluster Mode,(B) Install Redis on an Amazon EC2 instance.,(C) Implement Amazon ElastiCache Memcached.,(D) Migrate the database to Amazon Redshift.,eng,DVA,eng
"Company D is running their corporate website on Amazon S3 accessed from http//www.companyd.com. Their marketing team has published new web fonts to a separate S3 bucket accessed by the S3 endpoint https://s3-us-west-1.amazonaws.com/cdfonts. While testing the new web fonts, Company recognized the web fonts are being blocked by the browser. What should Company D do to prevent the web fonts from being blocked by the browser?",(A) Enable versioning on the cdfonts bucket for each web font,(B) Create a policy on the cdfonts bucket to enable access to everyone,(C) Add the Content-MD5 header to the request for webfonts in the cdfonts bucket from the website,(D) Configure the cdfonts bucket to allow cross-origin requests by creating a CORS configuration,eng,DVA,eng
"A gaming company is developing a mobile game application for iOS and Android platforms. This mobile game securely stores user data locally on the device. The company wants to allow users to use multiple device for the game, which requires user data synchronization across device. Which service should be used to synchronize user data across devices without the need to create abackend application?",(A) AWS Lambda,(B) Amazon S3,(C) Amazon DynamoDB,(D) Amazon Cognito,eng,DVA,eng
A set of APIs are exposed to customers using the Amazon API Gateway. These APIs have caching enabled on the API Gateway. Customers have asked for an option to invalidate this cache foreach of the APIs. What action can be taken to allow API customers to invalidate the API Cache?,(A) Ask customers to use AWS credentials to call the InvalidateCache API.,(B) Ask customers to invoke an AWS API endpoint which invalidates the cache.,(C) Ask customers to pass an HTTP header called Cache-Control:max-age=0.,(D) Ask customers to add a query string parameter called 'INVALIDATE_CACHE' when making an APIcall.,eng,DVA,eng
"An Amazon S3 bucket, 'myawsbucket' is configured with website hosting in Tokyo region, what is the region-specific website endpoint?",(A) www.myawsbucket.ap-northeast-1.amazonaws.com,(B) myawsbucket.s3-website-ap-northeast-1.amazonawscom,(C) myawsbucket.amazonaws.com,(D) myawsbucket.tokyo.amazonaws.com,eng,DVA,eng
"A Developer has created a Lambda function and is finding that the function is taking longer to complete than expected. After some debugging, the Developer has discovered that increasing compute capacity would improve performance. How can the Developer increase the Lambda compute resources?",(A) Run on a larger instance size with more compute capacity.,(B) Increase the maximum execution time.,(C) Specify a larger compute capacity when calling the Lambda function.,(D) Increase the allocated memory for the Lambda function.,eng,DVA,eng
"A Developer has developed a web application and wants to deploy it quickly on a Tomcat server on AWS. The Developer wants to avoid having to manage the underlying infrastructure. What is the easiest way to deploy the application, based on these requirements?",(A) AWS CloudFormation,(B) AWS Elastic Beanstalk,(C) Amazon S3,(D) AWS CodePipeline,eng,DVA,eng
"An application stores payroll information nightly in DynamoDB for a large number of employees across hundreds of offices. Item attributes consist of individual name, office identifier, and cumulative daily hours. Managers run reports for ranges of names working in their office. One query is. 'Return all Items in this office for names starting with A through E'. Which table configuration will result in the lowest impact on provisioned throughput for this query?","(A) Configure the table to have a hash index on the name attribute, and a range index on the office identifier","(B) Configure the table to have a range index on the name attribute, and a hash index on the office identifier",(C) Configure a hash index on the name attribute and no range index,(D) Configure a hash index on the office Identifier attribute and no range index,eng,DVA,eng
A Development team has pushed out 10 applications running on several Amazon EC2 instances. The Operations team is asking for a graphical representation of one key performance metric for each application. These metrics should be available on one screen for easy monitoring. Which steps should the Developer take to accomplish this using Amazon CloudWatch?,(A) Create a custom namespace with a unique metric name for each application.,(B) Create a custom dimension with a unique metric name for each application.,(C) Create a custom event with a unique metric name for each application.,(D) Create a custom alarm with a unique metric name for each application.,eng,DVA,eng
"A Developer created a dashboard for an application using Amazon API Gateway, Amazon S3,AWS Lambda, and Amazon RDS. The Developer needs an authentication mechanism allowing a userto sign in and view the dashboard. It must be accessible from mobile applications, desktops, and tablets, and must remember user preferences across platforms. Which AWS service should the Developer use to support this authentication scenario?",(A) AWS KMS,(B) Amazon Cognito,(C) AWS Directory Service,(D) Amazon IAM,eng,DVA,eng
Which of the following statements about SQS is true?,"(A) Messages will be delivered exactly once and messages will be delivered in First in, First out order",(B) Messages will be delivered exactly once and message delivery order is indeterminate,"(C) Messages will be delivered one or more times and messages will be delivered in First in, First out order",(D) Messages will be delivered one or more times and message delivery order is indeterminate,eng,DVA,eng
"A Developer has implemented a Lambda function that needs to add new customers to an RDS database that is expected to run hundreds of times per hour. The Lambda function is configured to use 512MB of RAM and is based on the following pseudo code:After testing the Lambda function, the Developer notices that the Lambda execution time is much longer than expected. What should the Developer do to improve performance?","(A) Increase the amount of RAM allocated to the Lambda function, which will increase the number of threads the Lambda can use.",(B) Increase the size of the RDS database to allow for an increased number of database connections each hour.,(C) Move the database connection and close statement out of the handler. Place the connection in the global space.,(D) Replace RDS with Amazon DynamoDB to implement control over the number of writes per second.,eng,DVA,eng
An on-premises legacy application is caching data files locally and writing shared images to local disks.What is necessary to allow for horizontal scaling when migrating the application to AWS?,(A) Modify the application to have both shared images and caching data written to Amazon EBS.,"(B) Modify the application to read and write cache data on Amazon S3, and also store shared images on S3.",(C) Modify the application to use Amazon S3 for serving shared images; cache data can then be written to local disks.,"(D) Modify the application to read and write cache data on Amazon S3, while continuing to write shared images to local disks.",eng,DVA,eng
A current architecture uses many Lambda functions invoking one another as a large statemachine. The coordination of this state machine is legacy custom code that breaks easily. Which AWS Service can help refactor and manage the state machine?,(A) AWS Data Pipeline,(B) AWS SNS with AWS SQS,(C) Amazon Elastic MapReduce,(D) AWS Step Functions,eng,DVA,eng
"A Developer is creating a serverless website with content that includes HTML files, images,videos, and JavaScript (client-side scripts).Which combination of services should the Developer use to create the website?",(A) Amazon S3 and Amazon CloudFront,(B) Amazon EC2 and Amazon ElastiCache,(C) Amazon ECS and Redis,(D) AWS Lambda and Amazon API Gateway,eng,DVA,eng
A Developer needs to design an application running on AWS that will be used to consume Amazon SQS messages that range from 1 KB up to 1GB in size. How should the Amazon SQS messages be managed?,(A) Use Amazon S3 and the Amazon SQS CLI.,(B) Use Amazon S3 and the Amazon SQS Extended Client Library for Java.,(C) Use Amazon EBS and the Amazon SQS CLI.,(D) Use Amazon EFS and the Amazon SQS CLI.,eng,DVA,eng
"A Developer has an application that can upload tens of thousands of objects per second to Amazon S3 in parallel within a single AWS account. As part of new requirements, data stored in S3 must use server side encryption with AWS KMS (SSE-KMS). After creating this change, performance of the application is slower. Which of the following is MOST likely the cause of the application latency?",(A) Amazon S3 throttles the rate at which uploaded objects can be encrypted using Customer MasterKeys.,(B) The AWS KMS API calls limit is less than needed to achieve the desired performance.,(C) The client encryption of the objects is using a poor algorithm.,(D) KMS requires that an alias be used to create an independent display name that can be mapped to a CMK.,eng,DVA,eng
A company needs to distribute firmware updates to its customers around the world. Which service will allow easy and secure control of the access to the downloads at the lowest cost?,(A) Use Amazon CloudFront with signed URLs for Amazon S3,(B) Create a dedicated Amazon CloudFront Distribution for each customer,(C) Use Amazon CloudFront with AWS Lambda@Edge,(D) Use Amazon API Gateway and AWS Lambda to control access to an S3 bucket,eng,DVA,eng
"An Amazon DynamoDB table uses a Global Secondary Index (GSI) to support read queries. The primary table is write-heavy, whereas the GSI is used for read operations. Looking at Amazon CloudWatch metrics, the Developer notices that write operations to the primary table are throttled frequently under heavy write activity. However, write capacity units to the primary table are available and not fully consumed. Why is the table being throttled?",(A) The GSI write capacity units are under provisioned,(B) There are not enough read capacity units on the primary table,(C) Amazon DynamoDB Streams is not enabled on the table,(D) A large write operation is being performed against another table,eng,DVA,eng
"A Development team currently supports an application that uses an in-memory store to save accumulated game results. Individual results are stored in a database. As part of migrating to AWS, the team needs to use automatic scaling. The team knows this will yield inconsistent results. Where should the team store these accumulated game results to BEST allow for consistent results without impacting performance?",(A) Amazon S3,(B) Amazon RDS,(C) Amazon ElastiCache,(D) Amazon Kinesis,eng,DVA,eng
What item operation allows the retrieval of multiple items from a DynamoDB table in a single API call?,(A) GetItem,(B) BatchGetItem,(C) GetMultipleItems,(D) GetItemRange,eng,DVA,eng
A Developer is writing a serverless application that requires that an AWS Lambda function be invoked every 10 minutes. What is an automated and serverless way to trigger the function?,"(A) Deploy an Amazon EC2 instance based on Linux, and edit its /etc/crontab file by adding acommand to periodically invoke the Lambda function.",(B) Configure an environment variable named PERIOD for the Lambda function. Set the value to 600.,(C) Create an Amazon CloudWatch Events rule that triggers on a regular schedule to invoke the Lambda function.,(D) Create an Amazon SNS topic that has a subscription to the Lambda function with a 600-secondtimer.,eng,DVA,eng
A developer implemented a static website hosted in Amazon S3 that makes web service requests in Amazon API Gateway and AWS Lambda. The site is showing an error that reads.''No 'Access Control-Allow-Origin'header' header is present on the requested resource. Origin 'null is therefore not allowed access '' What should the Developer do to resolve this issue?,(A) Enable cross-origin resource sharing (CORS) on the S3 bucket,(B) Enable cross-origin resource sharing (CORS) for the method in API Gateway,(C) Add the Access Control-Request-Method header to the request,(D) Add the Access-Control Inquest Headers header to the request,eng,DVA,eng
A Developer is creating a Lambda function and will be using external libraries that are not included in the standard Lambda libraries. What action would minimize the Lambda compute time consumed?,(A) Install the dependencies and external libraries at the beginning of the Lambda function.,(B) Create a Lambda deployment package that includes the external libraries.,"(C) Copy the external libraries to Amazon S3, and reference the external libraries to the S3 location.",(D) Install the external libraries in Lambda to be available to all Lambda functions.,eng,DVA,eng
"When writing a Lambda function, what is the benefit of instantiating AWS clients outside the scope of the handler?",(A) Legibility and stylistic convention,(B) Taking advantage of connection re-use,(C) Better error handling,(D) Creating a new instance per invocation,eng,DVA,eng
EC2 instances are launched from Amazon Machine images (AMIs). A given public AMI can:,(A) only be used to launch Lambda in the same AWS region as the AMI is stored.,(B) only be used to launch EC2 instances in the same country as the AMI is stored.,(C) only be used to launch EC2 instances in the same AWS region as the AMI is stored.,(D) only be used to launch EC2 instances in the same AWS availability zone as the AMI is stored,eng,DVA,eng
The upload of a 15 GB object to Amazon S3 fails. The error message reads: 'Your proposed upload exceeds the maximum allowed object size.' What technique will allow the Developer to upload this object?,(A) Upload the object using the multi-part upload API.,(B) Upload the object over an AWS Direct Connect connection.,(C) Contact AWS Support to increase the object size limit.,(D) Upload the object to another AWS region.,eng,DVA,eng
A Developer is writing an imaging micro service on AWS Lambda. The service is dependent on several libraries that are not available in the Lambda runtime environment. Which strategy should the Developer follow to create the Lambda deployment package?,(A) Create a ZIP file with the source code and all dependent libraries.,(B) Create a ZIP file with the source code and a script that installs the dependent libraries at runtime.,(C) Create a ZIP file with the source code. Stage the dependent libraries on an Amazon S3 bucket indicated by the Lambda environment variable LD_LIBRARY_PATH,(D) Create a ZIP file with the source code and a buildspec.yaml file that installs the dependent libraries on AWS Lambda.,eng,DVA,eng
A company caches session information for a web application in an Amazon DynamoDB table. The company wants an automated way to delete old items from the table. What is the simplest way to do this?,(A) Write a script that deletes old records; schedule the scripts as a cron job on an Amazon EC2 instance.,(B) Add an attribute with the expiration time; enable the Time To Live feature based on that attribute.,"(C) Each day, create a new table to hold session data; delete the previous day's table.",(D) Add an attribute with the expiration time; name the attribute Item Expiration.,eng,DVA,eng
An application that runs on an Amazon EC2 instance needs to access and make API calls to multiple AWS services. What is the MOST secure way to provide access to the AWS services with MINIMAL management overhead?,(A) Use AWS KMS to store and retrieve credentials.,(B) Use EC2 instance profiles.,(C) Use AWS root user to make requests to the application.,(D) Store and retrieve credentials from AWS CodeCommit.,eng,DVA,eng
A company is creating a REST service using an Amazon API Gateway with AWS Lambda integration. The service must run different versions for testing purposes. What would be the BEST way to accomplish this?,(A) Use an X-Version header to denote which version is being called and pass that header to the Lambda function(s),(B) Create an API Gateway Lambda authorizer to route API clients to the correct API version,(C) Create an API Gateway resource policy to isolate versions and provide context to the Lambda function(s),(D) Deploy the API versions as unique stages with unique endpoints and use stage variables to provide further context,eng,DVA,eng
"An application on AWS is using third-party APIs. The Developer needs to monitor API errors in the code, and wants to receive notifications if failures go above a set threshold value. How can the Developer achieve these requirements?",(A) Publish a custom metric on Amazon CloudWatch and use Amazon SES for notification.,(B) Use an Amazon CloudWatch API-error metric and use Amazon SNS for notification.,(C) Use an Amazon CloudWatch API-error metric and use Amazon SES for notification.,(D) Publish a custom metric on Amazon CloudWatch and use Amazon SNS for notification.,eng,DVA,eng
"A Developer has written a serverless application using multiple AWS services. The business logic is written as a Lambda function which has dependencies on third-party libraries. The Lambda function endpoints will be exposed using Amazon API Gateway. The Lambda function will write the information to Amazon DynamoD(B) The Developer is ready to deploy the application but must have the ability to rollback. How can this deployment be automated, based on these requirements?",(A) Deploy using Amazon Lambda API operations to create the Lambda function by providing a deployment package.,(B) Use an AWS CloudFormation template and use CloudFormation syntax to define the Lambda function resource in the template.,(C) Use syntax conforming to the Serverless Application Model in the AWS CloudFormation templateto define the Lambda function resource.,(D) Create a bash script which uses AWS CLI to package and deploy the application.,eng,DVA,eng
"A company has multiple Developers located across the globe who are updating code incrementally for a development project. When Developers upload code concurrently, internet connectivity is slow, and it is taking a long time to upload code for deployment in AWS ElasticBeanstalk. Which step will result in minimized upload and deployment time with the LEAST amount of administrative effort?","(A) Allow the Developers to upload the code to an Amazon S3 bucket, and deploy it directly to Elastic Beanstalk.",(B) Allow the Developers to upload the code to a central FTP server to deploy the application to Elastic Beanstalk.,"(C) Create an AWS CodeCommit repository, allow the Developers to commit code to it, and then directly deploy the code to Elastic Beanstalk.","(D) Create a code repository on an Amazon EC2 instance so that all Developers can update the code,and deploy the application from the instance to Elastic Beanstalk.",eng,DVA,eng
A company is creating an application that will require users to access AWS services and allow them to reset their own passwords. Which of the following would allow the company to manage users and authorization while allowing users to reset their own passwords?,(A) Amazon Cognito identify pools and AWS STS,(B) Amazon Cognito identity pools and AWS IAM,(C) Amazon Cognito user pools and AWS KMS,(D) Amazon Cognito user pools and identity pools,eng,DVA,eng
A Developer is creating a Lambda function that will generate and export a file. The function requires 100 MB of temporary storage for temporary files while executing. These files will not be needed after the function is complete. How can the Developer MOST efficiently handle the temporary files?,(A) Store the files in EBS and delete the files at the end of the Lambda function.,(B) Copy the files to EFS and delete the files at the end of the Lambda function.,(C) Store the files in the /tmp directory and delete the files at the end of the Lambda function.,(D) Copy the files to an S3 bucket with a lifecycle policy to delete the files.,eng,DVA,eng
A Developer has been asked to build a real-time dashboard web application to visualize the key prefixes and storage size of objects in Amazon S3 buckets. Amazon DynamoDB will be used to store the Amazon S3 metadata. What is the optimal and MOST cost-effective design to ensure that the real-time dashboard is kept upto date with the state of the objects in the Amazon S3 buckets?,(A) Use an Amazon CloudWatch event backed by an AWS Lambda function. Issue an Amazon S3 API call to get a list of all Amazon S3 objects and persist the metadata within DynamoD(B) Have the web application poll the DynamoDB table to reflect this change.,(B) Use Amazon S3 Event Notification backed by a Lambda function to persist the metadata into DynamoD(B) Have the web application poll the DynamoDB table to reflect this change.,(C) Run a cron job within an Amazon EC2 instance to list all objects within Amazon S3 and persist the metadata into DynamoD(B) Have the web application poll the DynamoDB table to reflect this change.,(D) Create a new Amazon EMR cluster to get all the metadata about Amazon S3 objects; persist the metadata into DynamoD(B) Have the web application poll the DynamoDB table to reflect this change.,eng,DVA,eng
A company needs to ingest terabytes of data each hour from thousands of sources that are delivered almost continually throughout the day. The volume of messages generated varies over the course of the day. Messages must be delivered in real time for fraud detection and live operational dashboards. Which approach will meet these requirements?,"(A) Send the messages to an Amazon SQS queue, then process the messages by using a fleet ofAmazon EC2 instances","(B) Use the Amazon S3 API to write messages to an S3 bucket, then process the messages by usingAmazon Redshift",(C) Use AWS Data Pipeline to automate the movement and transformation of data,(D) Use Amazon Kinesis Data Streams with Kinesis Client Library to ingest and deliver messages,eng,DVA,eng
A company has an internet-facing application that uses Web Identity Federation to obtain a temporary credential from AWS Security Token Service (AWS STS). The app then uses the token to access AWS services. Review the following response: Based on the response displayed what permissions are associated with the call from the application?,(A) Permissions associated with the role AROACLKWSDQRAOEXAMPLE:app1,(B) Permissions associated with the default role used when the AWS service was built,(C) Permission associated with the IAM principal that owns the AccessKeyID ASgeIAIOSFODNN7EXAMPLE,(D) Permissions associated with the account that owns the AWS service,eng,DVA,eng
company needs a fully-managed source control service that will work in AWS. The service must ensure that revision control synchronizes multiple distributed repositories by exchanging sets of changes peer-to-peer. All users need to work productively even when not connected to a network. Which source control service should be used?,(A) Subversion,(B) AWS CodeBuild,(C) AWS CodeCommit,(D) AWS CodeStar,eng,DVA,eng
"A company has a multi-tiered web application on AWS. During a recent spike in traffic, one of the primary relational databases on Amazon RDS could not serve all the traffic. Some read queries for repeatedly accessed items failed, so users received error messages. What can be done to minimize the impact on database read queries MOST efficiently during future traffic spikes?",(A) Use Amazon S3 to cache database query results.,(B) Use Amazon RDS as a custom origin for Amazon CloudFront.,(C) Use local storage and memory on Amazon EC2 instances to cache data.,(D) Use Amazon ElastiCache in front of the primary database to cache data.,eng,DVA,eng
A serverless application uses an API Gateway and AWS Lambda. Where should the Lambda function store its session information across function calls?,(A) In an Amazon DynamoDB table,(B) In an Amazon SQS queue,(C) In the local filesystem,(D) In an SQLite session table using -DSQLITE_ENABLE_SESSION24,eng,DVA,eng
"While developing an application that runs on Amazon EC2 in an Amazon VPC, a Developer identifies the need for centralized storage of application-level logs. Which AWS service can be used to securely store these logs?",(A) Amazon EC2 VPC Flow Logs,(B) Amazon CloudWatch Logs,(C) Amazon CloudSearch,(D) AWS CloudTrail,eng,DVA,eng
"A Developer has created a large Lambda function, and deployment is failing with the following error:ClientError: An error occurred (InvalidParameterValueException) when calling the CreateFunction operation: Unzipped size must be smaller than XXXXXXXXX bytes', where XXXXXXXXX is the current Lambda limit What can the Developer do to fix this problem?",(A) Submit a limit increase request to AWS Support to increase the function to the size needed.,(B) Use a compression algorithm that is more efficient than ZIP.,(C) Break the function into multiple smaller Lambda functions.,(D) ZIP the ZIP file twice to compress it further.,eng,DVA,eng
A website's page load times are gradually increasing as more users access the system at the same time. Analysis indicates that a user profile is being loaded from a database in all the web pages being visited by each user and this is increasing the database load and the page load latency. To address this issue the Developer decides to cache the user profile data. Which caching strategy will address this situation MOST efficiently?,(A) Create a new Amazon EC2 Instance and run a NoSQL database on it. Cache the profile data within this database using the write-through caching strategy.,(B) Create an Amazon ElastiCache cluster to cache the user profile data. Use a cache-aside caching strategy.,(C) Use a dedicated Amazon RDS instance for caching profile data. Use a write-through caching strategy.,(D) Create an ElastiCache cluster to cache the user profile data. Use a write-through caching strategy.,eng,DVA,eng
"A social media company is using Amazon Cognito in order to synchronize profiles across different mobile devices, to enable end users to have a seamless experience. Which of the following configurations can be used to silently notify users whenever an update is available on all other devices?",(A) Modify the user pool to include all the devices which keep them in sync.,(B) Use the SyncCallback interface to receive notifications on the application.,(C) Use an Amazon Cognito stream to analyze the data and push the notifications.,(D) Use the push synchronization feature with the appropriate IAM role.,eng,DVA,eng
Company A has an S3 bucket containing premier content that they intend to make available to only paid subscribers of their website. The S3 bucket currently has default permissions of all objects being private to prevent inadvertent exposure of the premier content to non-paying website visitors. How can Company A provide only paid subscribers the ability to download a premier content file in the S3 bucket?,(A) Apply a bucket policy that grants anonymous users to download the content from the S3 bucket,(B) Generate a pre-signed object URL for the premier content file when a paid subscriber requests a download,(C) Add a bucket policy that requires Multi-Factor Authentication for requests to access the S3 bucket objects,(D) Enable server side encryption on the S3 bucket for data protection against the non-paying website visitors,eng,DVA,eng
"A company has three different environments: Development, QA, and Production. The company wants to deploy its code first in the Development environment, then QA, and then Production.Which AWS service can be used to meet this requirement?",(A) Use AWS CodeCommit to create multiple repositories to deploy the application.,"(B) Use AWS CodeBuild to create, configure, and deploy multiple build application projects.",(C) Use AWS Data Pipeline to create multiple data pipeline provisions to deploy the application.,(D) Use AWS CodeDeploy to create multiple deployment groups.,eng,DVA,eng
A web application is using Amazon Kinesis Streams for clickstream data that may not be consumed for up to12 hours. How can the Developer implement encryption at rest for data within the Kinesis Streams?,(A) Enable SSL connections to Kinesis,(B) Use Amazon Kinesis Consumer Library,(C) Encrypt the data once it is at rest with a Lambda function,(D) Enable server-side encryption in Kinesis Streams,eng,DVA,eng
"An application displays a status dashboard. The status is updated by 1 KB messages from an SQS queue. Although the status changes infrequently, the Developer must minimize the time between the message arrival in the queue and the dashboard update. What technique provides the shortest delay in updating the dashboard?",(A) Retrieve the messages from the queue using long polling every 20 seconds.,(B) Reduce the size of the messages by compressing them before sending.,(C) Retrieve the messages from the queue using short polling every 10 seconds.,(D) Reduce the size of each message payload by sending it in two parts.,eng,DVA,eng
"A Developer is publishing critical log data to a log group in Amazon CloudWatch Lops, whichwas created 2 months ago. The Developer must encrypt the log data using an AWS KMS customer master key (CMK) so future data can be encrypted to comply with me company's security policy How can the Developer meet this requirement?",(A) Use the CloudWatch Logs console and enable the encrypt feature on the log group.,(B) Use the AWS CLI create-log-group command and specify the key Amazon Resource Name (ARN),(C) Use the KMS console and associate the CMK with the log group,(D) Use the AWS CLI associate-Kms-key command and specify the key Amazon Resource Name (ARN),eng,DVA,eng
"A company recently migrated its web, application and NoSQL database tiers to AWS. The company is using Auto Scaling to scale the web and application tiers. More than 95 percent of the Amazon DynamoDB requests are repeated read-requests. How can the DynamoDB NoSQL tier be scaled up to cache these repeated requests?",(A) Amazon EMR,(B) Amazon DynamoDB Accelerator,(C) Amazon SQS,(D) Amazon CloudFront,eng,DVA,eng
"A Developer is developing an application that manages financial transactions. To improve security, multi-factor authentication (MFA) will be required as part of the login protocol. What services can the Developer use to meet these requirements?","(A) Amazon DynamoDB to store MFA session data, and Amazon SNS to send MFA codes",(B) Amazon Cognito with MFA,(C) AWS Directory Service,(D) AWS IAM with MFA enabled,eng,DVA,eng
"A Developer writes an AWS Lambda function and uploads the code in a .ZIP file to Amazon S3. The Developer makes changes to the code and uploads a new .ZIP file to Amazon S3. However, Lambda executes the earlier code. How can the Developer fix this in the LEAST disruptive way?",(A) Create another Lambda function and specify the new .ZIP file.,(B) Call the update-function-code API.,"(C) Remove the earlier .ZIP file first, then add the new .ZIP file.",(D) Call the create-alias API.,eng,DVA,eng
A Developer is trying to make API calls using SDK. The IAM user credentials used by the application require multi-factor authentication for all API calls.Which method the Developer use to access the multi-factor authentication protected API?,(A) GetFederationToken,(B) GetCallerIdentity,(C) GetSessionToken,(D) DecodeAutherizationMessage,eng,DVA,eng
